epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5903.53,0.94342,0.57115,0.93956,0.95761,0.93485,0.97023,0.75956,0.72586,0.38299,0.87065,2.40152e-05,2.40152e-05,2.40152e-05
40,6056.21,0.95425,0.57834,0.94924,0.96235,0.93087,0.97058,0.76032,0.72599,0.3826,0.87073,2.20156e-05,2.20156e-05,2.20156e-05
41,6198.61,0.95218,0.58709,0.96258,0.94102,0.90399,0.96005,0.73178,0.77929,0.41392,0.8832,2.0016e-05,2.0016e-05,2.0016e-05
42,6331.71,0.93956,0.56529,0.95752,0.94232,0.90236,0.95985,0.73382,0.77749,0.41456,0.88324,1.80164e-05,1.80164e-05,1.80164e-05
43,6465.56,0.93092,0.55966,0.95082,0.94896,0.90116,0.96071,0.7374,0.77061,0.40921,0.88119,1.60168e-05,1.60168e-05,1.60168e-05
44,6600.39,0.92679,0.54692,0.94397,0.95167,0.90135,0.96143,0.73855,0.76787,0.40736,0.88024,1.40172e-05,1.40172e-05,1.40172e-05
45,6734.68,0.91531,0.54361,0.95062,0.95449,0.90387,0.96208,0.74058,0.76415,0.40625,0.87958,1.20176e-05,1.20176e-05,1.20176e-05
46,6881.09,0.91021,0.53971,0.94486,0.95315,0.90215,0.96125,0.73934,0.76534,0.40626,0.87967,1.0018e-05,1.0018e-05,1.0018e-05
47,7033.37,0.92108,0.54404,0.94692,0.95453,0.90503,0.96206,0.74049,0.76298,0.40495,0.87898,8.0184e-06,8.0184e-06,8.0184e-06
48,7180.21,0.91314,0.54533,0.94957,0.95468,0.90484,0.96206,0.74196,0.76224,0.40448,0.87913,6.0188e-06,6.0188e-06,6.0188e-06
49,7329.57,0.90145,0.5359,0.94212,0.95558,0.90529,0.96199,0.74215,0.76136,0.40406,0.87881,4.0192e-06,4.0192e-06,4.0192e-06
50,7479.34,0.91453,0.54507,0.94226,0.9557,0.90468,0.96197,0.74144,0.76196,0.40432,0.87875,2.0196e-06,2.0196e-06,2.0196e-06
